,Unnamed: 0,Name,Event Date,Event Type,COSPAR ID,Catalogued Objects,Objects on Orbit,Objects > 1 cm,Objects > 10 cm,Last Update,Unnamed: 10
172,,PSLV fourth stage (PS4),19 Dec 2001,Propulsion,2001-049D,371.0,71.0,34857.0,899.0,24 Oct 2018,
173,,Cosmos-2367,21 Nov 2001,Unknown,1999-072A,16.0,,1506.0,39.0,24 Oct 2018,
174,,Proton-K/DM-2 ullage motor (SOZ),14 Jul 2001,Propulsion,1992-082F,,,,,04 Dec 2017,
175,,Proton-K/DM-2 ullage motor (SOZ),16 Jun 2001,Propulsion,1991-025G,32.0,10.0,3011.0,78.0,24 Oct 2018,
176,,H10 (Ariane 44L H10),24 Dec 2001,Propulsion,1991-075B,12.0,8.0,1129.0,30.0,24 Oct 2018,
177,,H10 (Ariane 2),09 Jul 2002,Propulsion,1988-040B,7.0,7.0,659.0,17.0,24 Oct 2018,
178,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),18 Apr 1999,Propulsion,1989-100B,25.0,,2352.0,62.0,24 Oct 2018,
179,,H10 (Ariane 44L H10),02 Feb 2002,Propulsion,1992-041C,6.0,1.0,564.0,15.0,24 Oct 2018,
180,,Proton-K/DM-2 ullage motor (SOZ),04 Aug 2003,Propulsion,1988-085F,78.0,9.0,,,04 Dec 2017,
181,,Cosmos-2399,09 Dec 2003,Deliberate,2003-035A,21.0,,1976.0,51.0,24 Oct 2018,
182,,Proton-K/DM-2 ullage motor (SOZ),21 Feb 2003,Propulsion,1990-110G,1.0,1.0,193.0,6.0,24 Oct 2018,
183,,Proton-K/DM-2 ullage motor (SOZ),23 Apr 2003,Propulsion,1987-079H,54.0,19.0,,,04 Dec 2017,
184,,Cosmos-2383,28 Feb 2004,Unknown,2001-057A,13.0,,1223.0,32.0,24 Oct 2018,
185,,Molniya 3-16,05 Feb 1998,Aerodynamics,1981-054A,,,,,04 Dec 2017,
186,,H10 (Ariane 3),20 Nov 1984,Propulsion,1984-114C,1.0,1.0,188.0,5.0,24 Oct 2018,
187,,Proton-K/DM-2 ullage motor (SOZ),13 Nov 2003,Propulsion,1989-001H,14.0,4.0,,,04 Dec 2017,
188,,Cosmos-41 fragmentation debris,30 Dec 2002,Aerodynamics,1964-049F,,,,,04 Dec 2017,
189,,Proton-K/DM-2 ullage motor (SOZ),01 Jul 1992,Propulsion,1989-101E,14.0,3.0,1318.0,34.0,24 Oct 2018,
190,,Blok-ML (Molniya-M Blok-ML),13 Jan 2003,Aerodynamics,1985-103D,,,,,04 Dec 2017,
191,,Cosmos-1849,27 Jan 2003,Aerodynamics,1987-048A,,,,,04 Dec 2017,
192,,Molniya 3-35,14 Dec 2001,Aerodynamics,1989-043A,,,,,04 Dec 2017,
193,,DMSP Block 5D-2 F11,15 Apr 2004,Electrical,1991-082A,84.0,64.0,9680.0,251.0,24 Oct 2018,
194,,Proton-K/DM-2 ullage motor (SOZ),10 Jul 2004,Propulsion,1992-047G,36.0,13.0,,,04 Dec 2017,
195,,Proton-K/DM-2 ullage motor (SOZ),29 Oct 2004,Propulsion,2002-037F,60.0,,,,04 Dec 2017,
196,,Cosmos-1030,15 Aug 2004,Aerodynamics,1978-083A,12.0,9.0,1129.0,30.0,24 Oct 2018,
197,,Briz-M auxiliary tank (DTB),17 Jun 2015,Aerodynamics,2014-064C,,,,,04 Dec 2017,
198,,Beidou DW 2,29 Jun 2016,Propulsion,2009-018A,,,,,04 Dec 2017,
199,,RISAT-1,30 Sep 2016,Anomalous,2012-017A,12.0,,,,04 Dec 2017,
200,,Proton-K/DM-2 ullage motor (SOZ),28 Mar 1999,Propulsion,1990-045G,,,,,04 Dec 2017,
201,,DMSP Block 5D-2 F12,23 Oct 2016,Anomalous,1994-057A,1.0,1.0,,,04 Dec 2017,
202,,Proton-K/DM-2 ullage motor (SOZ),27 Jul 2016,Propulsion,2006-062G,8.0,7.0,753.0,20.0,24 Oct 2018,
203,,Sentinel-1A,23 Aug 2016,Collision,2014-016A,7.0,3.0,,,04 Dec 2017,
204,,Fregat operational debris (SBB),04 Aug 2015,Unknown,2011-037B,,,,,04 Dec 2017,
205,,Briz-M (Proton-M/Briz-M),16 Jan 2016,Propulsion,2015-075B,6.0,6.0,9537.0,247.0,24 Oct 2018,
206,,Briz-M auxiliary tank (DTB),23 Dec 2015,Propulsion,2012-026C,10.0,10.0,15889.0,411.0,24 Oct 2018,
207,,Proton-M/DM-2 ullage motor (SOZ),26 Mar 2016,Propulsion,2008-067G,21.0,14.0,1399.0,37.0,24 Oct 2018,
208,,COBE,01 Jan 1993,Anomalous,1989-089A,102.0,2.0,,,04 Dec 2017,
209,,Hitomi (ASTRO-H),26 Mar 2016,Accidental,2016-012A,12.0,9.0,1129.0,30.0,24 Oct 2018,
210,,Proton-M/DM-2 ullage motor (SOZ),01 Jun 2016,Propulsion,2008-067H,14.0,14.0,,,04 Dec 2017,
211,,L-14 (YF40A) (Long March (CZ) 4),04 Oct 1990,Propulsion,1990-081D,106.0,78.0,12693.0,328.0,24 Oct 2018,
212,,Molniya-1T,15 Apr 2016,Aerodynamics,2004-005A,2.0,,,,04 Dec 2017,
213,,Titan Transtage (OV2 3) (Titan IIIC),21 Dec 1965,Propulsion,1965-108A,108.0,101.0,10157.0,264.0,24 Oct 2018,
214,,Blok-L (Molniya),04 Apr 2004,Aerodynamics,1964-049E,8.0,,753.0,20.0,24 Oct 2018,
215,,H8 (Ariane 1),13 Nov 1986,Propulsion,1986-019C,497.0,31.0,56037.0,1442.0,24 Oct 2018,
216,,Cosmos-2101,30 Nov 1990,Deliberate,1990-087A,3.0,,282.0,8.0,24 Oct 2018,
217,,Proton-K/DM-2 ullage motor (SOZ),14 Dec 1995,Propulsion,1990-102E,1.0,1.0,188.0,5.0,24 Oct 2018,
218,,Proton-K/DM-2 ullage motor (SOZ),22 Apr 2005,Propulsion,1992-088E,1.0,,,,04 Dec 2017,
